airline_id,dep_airport_id
380,1799
380,2216
380,547
380,232
380,105
380,788
380,1455
380,2443
380,113
380,606
380,1061
380,1682
380,2328
380,2580
21,1713
21,2341
21,1272
98,625
428,1229
428,1987
21,249
21,2575
21,2658
98,2795
98,1627
98,2228
98,1272
244,625
244,1078
244,1316
244,2027
428,817
428,682
96,1634
96,2508
21,1819
21,2135
21,2573
96,625
96,1972
57,37
57,725
96,2736
96,2755
57,1505
57,2412
57,1594
478,625
478,1022
241,2296
241,1137
378,2032
378,1299
378,2444
378,2657
478,351
307,783
307,894
307,1814
402,1225
402,2736
78,625
78,2495
438,2276
438,305
438,1228
78,155
78,246
78,2027
55,1098
55,1052
55,1536
55,1407
55,515
55,835
55,1878
55,830
55,771
55,829
55,1955
402,2327
402,2423
402,2657
438,620
438,644
438,1292
438,1502
77,2046
77,753
77,969
77,1138
77,1330
170,10
170,1255
170,2390
215,2087
298,2087
252,1476
252,554
252,986
170,869
170,2492
237,2460
237,2587
170,1058
170,2368
115,387
115,528
115,2621
115,1981
115,2529
66,2364
66,943
66,2654
75,970
75,2559
66,983
66,1270
66,1188
66,1548
66,1856
66,1976
66,2563
66,2198
66,2642
66,2627
75,962
75,2334
75,1802
75,1224
75,760
75,895
75,732
75,892
75,1614
75,795
75,1085
75,905
75,1615
75,1847
75,1223
75,1393
75,1807
75,1879
75,1912
75,2339
75,2533
75,2432
75,2437
115,1562
116,1131
116,525
116,2181
116,1053
116,820
116,330
116,1939
116,687
116,2005
116,404
116,841
116,86
116,992
116,1947
116,1066
116,2234
132,639
132,2471
132,1559
132,1968
132,1476
237,1248
237,112
237,821
237,521
237,605
237,1449
237,1589
237,1954
237,1805
237,2194
237,2354
237,2351
252,639
252,2471
252,1559
252,418
252,2619
252,1968
252,2030
252,1372
252,2117
252,499
252,2012
170,252
170,628
170,647
170,666
170,1067
170,1382
203,2023
203,1143
203,2079
203,2509
264,2
264,279
264,1651
264,2367
264,2358
215,40
372,1248
372,2460
372,112
372,821
372,521
372,605
372,1449
372,1589
372,1954
372,1805
372,2194
372,2354
372,2351
372,2587
298,40
388,140
388,760
388,895
388,732
388,1393
388,1487
388,1763
433,2364
433,943
433,983
433,2642
433,2627
470,92
470,2334
470,2075
470,1801
470,1802
470,1224
470,760
470,895
470,732
470,892
470,795
470,2677
470,1085
470,1124
470,905
470,1847
470,1672
470,1393
470,1879
470,1912
470,2339
470,2273
470,2533
470,2432
470,2437
44,982
44,1976
9,69
9,21
9,137
9,337
9,226
9,193
9,2721
9,432
9,531
9,646
9,908
9,893
9,1685
9,1150
9,1250
9,1246
9,1453
9,1428
9,1598
9,1683
9,1607
9,1623
9,1676
9,1743
9,1770
9,1842
9,1899
9,1983
9,2104
9,2405
9,2449
9,2525
9,2666
9,2712
9,2700
261,2620
261,2634
219,10
433,2358
270,306
270,1394
270,1916
270,843
219,1068
219,1443
219,2141
202,2364
202,2438
181,2365
181,1172
181,2133
181,2392
181,2544
181,2627
250,97
250,247
250,306
250,447
250,1394
250,1916
250,843
250,1386
250,1475
250,2371
250,2562
250,2613
250,2794
341,1475
341,2794
433,2
433,279
433,1867
433,2438
433,2644
444,10
444,1019
444,1811
449,2365
449,1172
449,1859
449,2133
449,2392
449,2627
450,2364
450,2438
450,2605
206,625
206,246
206,2795
206,2027
206,1695
206,2644
206,2661
451,924
17,1587
17,1458
451,1738
451,506
451,2689
451,2619
451,1476
451,2473
103,1790
103,2669
103,2264
103,698
103,879
103,1290
103,327
103,2281
103,2462
103,2698
119,99
119,736
119,1626
402,972
402,1985
402,2254
110,698
110,879
110,1790
110,2077
110,2698
373,935
373,2677
373,847
373,1358
373,2636
255,962
237,962
199,962
199,2105
255,2105
255,594
459,2076
255,1630
255,2132
237,1791
255,1791
319,1791
319,2352
199,169
199,346
199,450
199,578
211,962
211,2105
237,450
270,962
270,169
270,346
270,2105
270,2352
255,169
255,346
255,450
255,833
255,904
319,962
319,169
319,346
319,450
319,578
319,2132
319,904
319,2339
459,962
459,169
459,450
255,821
459,821
199,1462
199,2339
237,1462
237,1879
237,2339
255,578
255,1462
255,1879
255,2339
459,1462
459,2339
199,1879
319,1879
255,1988
255,2184
211,587
202,488
202,2425
459,2352
255,2352
199,2352
237,1912
255,1912
143,1789
143,1184
143,1492
143,2425
319,1927
255,587
199,1927
255,1050
255,1927
199,1912
199,2227
199,2550
211,833
270,450
270,833
270,1462
270,2339
270,2227
270,2550
272,913
272,488
272,441
272,790
272,1789
272,956
272,1184
272,1310
272,1782
272,1732
272,2419
272,2440
272,2274
272,1429
272,2425
272,2723
143,913
143,2782
143,2423
143,1049
143,919
143,1782
143,1834
143,1930
143,2419
143,2747
143,2484
143,2558
255,2550
319,1912
319,2227
319,2550
334,1834
334,2425
328,1049
328,1184
459,1912
459,2227
459,2550
319,195
40,962
199,1182
319,1182
459,1182
199,195
211,2076
270,1927
255,473
199,1791
270,1791
199,833
199,904
211,1050
211,1612
270,2132
270,1050
270,1612
255,712
255,1463
319,833
319,2076
459,1463
255,1951
319,921
255,1122
199,1951
199,44
199,2704
199,2407
270,501
319,64
319,44
319,1951
319,2407
459,2704
199,921
319,591
199,906
255,195
255,1612
199,1612
237,1612
40,1612
459,1612
270,195
211,1462
211,1927
211,195
255,760
211,1334
255,1334
3,1334
199,1334
255,1123
319,1123
40,1123
237,448
255,448
199,448
270,594
237,1942
319,594
459,594
199,594
255,1942
319,2105
319,1748
199,501
459,501
237,1748
255,1748
459,1748
255,1847
199,1123
319,501
319,508
237,1021
199,847
199,2238
237,2238
255,523
255,847
255,1706
255,2238
319,847
40,847
459,847
459,2238
270,1748
270,847
270,2238
159,847
255,164
255,1021
255,295
199,1050
40,1050
459,1050
319,319
237,1602
255,1602
255,567
211,1602
211,1951
237,287
255,287
255,501
319,2677
319,1050
319,1602
459,1602
319,523
270,906
255,906
255,2432
199,1748
270,1602
199,564
211,546
270,1123
255,319
255,564
255,277
319,564
459,564
199,319
199,287
199,1088
199,686
199,290
199,277
199,2201
199,1598
199,1487
199,2479
199,1463
211,64
211,1123
211,395
211,501
211,2677
270,64
270,319
270,287
270,448
270,1088
270,564
270,921
270,2705
270,1021
270,277
270,1182
270,473
270,1951
270,904
255,64
255,149
255,44
255,1465
255,395
255,1088
255,591
255,686
255,290
255,895
255,1869
255,921
255,2705
255,2701
255,960
255,1598
255,1487
255,2704
255,2479
255,2076
255,2407
255,2437
255,2554
319,287
319,1088
319,686
319,290
319,2705
319,277
319,1598
319,2479
319,1463
459,287
459,2705
63,1441
63,1863
63,1644
63,372
63,1395
426,949
482,564
132,2183
237,2183
482,2183
132,594
132,2076
132,2352
132,378
482,2076
482,2352
482,378
132,564
132,1583
390,564
482,1583
132,68
132,169
132,195
132,1123
132,1769
132,2705
132,1085
132,1182
132,473
132,1912
132,1880
132,2550
219,564
16,1462
482,68
482,169
482,195
482,1123
482,1769
482,2705
482,1085
482,1182
482,473
482,1912
482,1880
482,2550
104,2046
104,218
104,2296
104,969
132,1879
482,594
482,1879
132,1587
132,1458
132,2097
132,1459
237,1458
482,1587
482,1458
482,2097
482,1459
132,1931
482,1931
132,1088
482,1088
132,1927
482,1927
104,753
104,450
104,418
104,1330
104,1136
104,1612
104,2524
104,1121
104,1372
104,2012
104,141
132,1988
132,1408
132,1796
132,2153
237,2352
207,458
207,978
207,1184
207,1451
207,1734
207,2278
207,2425
207,2422
207,2484
207,2426
212,564
482,1988
482,1408
482,1796
482,2153
486,183
486,714
486,2459
242,218
242,2296
242,1571
242,831
129,1560
129,37
129,2280
426,1051
129,2412
129,1594
129,2772
129,1275
129,4
129,2262
129,725
129,2230
111,2046
111,2296
111,1612
111,141
131,4
131,37
131,2262
131,200
131,725
131,1258
131,2261
131,1560
131,2230
131,574
131,2280
131,2412
131,1594
131,2772
284,1978
284,1287
284,1395
284,1478
284,2119
129,200
129,1258
129,2261
129,574
322,2399
322,913
322,627
322,1006
322,1937
321,1131
321,690
321,1558
57,1258
482,833
132,1630
482,1630
132,1463
132,287
132,502
132,587
132,591
132,847
132,1050
132,1469
132,277
132,1407
132,833
132,1462
132,832
132,2704
132,712
132,1840
132,1791
132,2105
132,2180
132,2170
219,1462
288,564
390,1462
482,287
482,502
482,847
482,1050
482,1407
482,1462
482,832
482,2704
482,712
482,1840
482,1791
482,2105
482,2180
482,2170
57,200
57,645
482,1463
482,591
482,277
482,626
482,1469
155,169
155,248
155,1587
132,2554
482,2554
132,1748
482,1748
243,2631
246,1621
243,1621
243,1740
243,1836
132,450
482,450
155,1385
155,766
155,906
155,295
155,842
155,2355
155,1848
155,1588
243,447
132,962
390,962
482,962
132,686
155,1932
155,2477
155,977
155,1118
482,686
255,97
255,1396
319,97
319,1396
255,1665
319,1665
444,414
444,656
444,1770
367,1216
367,2297
367,1432
177,696
177,608
177,1060
177,1208
177,987
177,1035
177,481
177,2307
177,1261
177,1200
177,1420
177,1707
177,47
177,600
177,2480
177,2317
177,2177
177,2773
367,1419
367,1611
412,1249
412,251
412,1828
412,1538
412,984
412,1979
444,604
444,661
444,1382
444,1457
444,1488
444,2335
444,2368
444,2522
444,2702
327,269
327,270
327,283
327,811
327,598
327,1091
327,1760
327,2540
327,1970
327,2555
295,2046
295,1335
295,2524
427,398
427,1335
427,2524
427,2017
424,1096
424,2335
444,286
44,324
44,1696
44,2371
44,2794
25,639
25,2471
25,2012
219,2
219,1856
183,1856
219,259
219,279
219,658
171,667
171,975
171,1211
171,761
171,758
171,2089
171,763
171,2754
42,414
42,1068
42,1770
42,109
44,2364
44,2401
44,936
44,1477
44,1669
44,1875
44,1390
44,2515
44,1315
192,2452
192,2470
192,2592
192,351
192,1193
192,1822
192,1753
219,342
90,2711
342,2481
342,2711
342,496
219,3
219,2365
219,888
219,1525
219,1695
219,2794
342,754
342,2478
342,2083
